"Customer ID#","Account No.","Currency","Type","Balance"
I6usbo,QUF0Sb,Ei9EvC,qxVTvl,7c7yd9
Ez,Uj,c5,O2,g8
E,a,6,t,Y
IIIB1,jWNuq,2Wd1j,mNmrd,Exg6U
sg06s,CCoXN,t7jtL,L02Ys,sXVDu
Ob3QH,kCFPE,PaicI,CaUQW,koQ5Q
T,5,E,r,Y
FB1mbkvn,A6mjR7go,OuibAqDh,krs4vFZ0,7FVZV4r6
X5mjJgvUt,VEo6C8jIb,DpMb0fmu5,DBaO0F8o7,c2G3faRlp
GYQBzvqdD,CvXibtgmZ,lp9klSWik,xXrfy6e5i,yBsA06zmp
O,P,l,T,S
KrdvJ,mqNjV,yK8Jb,f8k98,m0ncd
9Bf4ytsRdz,v0VbifUIEB,4RvFVLMxs7,CE6x4955iE,M3EdiqZ4jE
eluXdOsK,qDDRyotd,GuetWQg2,8rUbYBf6,5MdWnijr
pLm9ssM,O1POjpc,sHEOH8d,aiLm4qP,ct0rBqR
LWQ,dZr,fl0,NFk,HPu
Itezm,6ftpt,S2PNk,nOhlU,BLO9R
nmhL,aHvY,UJym,yQxc,Wucs
a,5,i,D,M
OX,oO,P9,r4,kg
Bbap,dH1W,KXcn,CTGA,LnCA
USbCIa8Eno,WyF7sroc68,dJq0xLN8iv,LzvFdTYkFZ,U8MiWE2WSC
oCFeRala,sko2MvD4,o4l5stgH,KmKMm6MQ,RVjQtgkd
WxrDEQYsaG,z2Fj7mTi3b,gd38Rn2fPQ,LgPLmZLrQK,BbgQRIe6Nk
3,y,J,v,o
2c,9c,or,qk,gY
1ZC6rXt,KZ90U8B,NfSzeBQ,FvSPcTi,uCv3QzJ
b8NjnIcT6x,nqzvi8DkeD,T4IiTgVZNX,eugGzt9aTi,nYTFKry6P8
df9Z3,9qlkU,tgsrK,ca96s,dTzvF
lM,4D,5k,9U,Ec
7ShfPbE2,bOsvApNI,eI1c8PI7,3ZoOPXEU,GdGJ463r
nFYsMN,2TFxZU,kunaNQ,t4FHXo,fWnmtA
cC0,80n,5Cb,J7k,rzh
qj,Oq,mn,bg,uB
jp80DGfsr,L03kgJYLX,W2lmEeVHg,1NFDleZ0J,Jss18JcYm
5C5R,HGRn,BLav,Ufsa,J6xx
nIH,zpR,rh3,dvP,BMt
ecHMYCNC,V7qJsDmi,8BgHqn7a,Vo9qiIDC,KFBXP5rm
jI,Gi,WO,vW,Tq
BRX,QNF,BnT,IqO,Kuf
GO,bZ,z7,6l,Mg
zFCC,OsMS,NrY3,cUhk,PzDI
aI,dV,cX,oI,Z3
2R0,p62,ufF,d3H,iQa
kIX,c4C,MJE,SYS,vGy
AD,ND,v0,HG,lO
7RK,lbf,YXf,1uf,AFq
g,k,7,x,Z
G1,a5,1D,Qf,mN
M7SGG4,RAYcJt,sS454W,sLvYvl,7ufYl7
H,N,P,O,T
ajPBIXvbj,XMo9Fa5jV,k6htAJVle,mjBtozO4K,UGMUZVSNA
jYt,WcW,aNu,ajF,cA1
BQ,Jv,F2,IS,ZY
RE,YC,z4,h7,Em
Tb,cj,XH,9J,Nf
ajRZa6EbLi,14csZ4HLMC,xF6ca3grhY,qQjOK0BfVF,gGt46Xl0nk
LvqtqnHs8,TeB7MCqme,XhNpQYEbL,3tXyEeSVn,33WrExWzn
emvXCoji,M8qiW318,6MBGYcta,sdUUqZYC,JhTrTmS8
8OLkb5Dj,hh67LlfI,AsCqBVbH,ZqrjXCWX,a0OHunhd
p13ll1,uziepB,FFEXfb,R9W7Sb,9u18lo
a4UkUiNy,k4zkoLkn,VqBbQx4Z,3Fzt8k9p,aEDidOMH
qH7FUNGH,A6OVqRve,uvEuY5YA,pvf1KcFZ,pcnDBVZP
8Dg,abm,Ols,Hhx,2IJ
0GaLyG7L,xnKCd78q,LLAtisHr,icWfHA6L,ymaUBk2s
s2eBjHYU,J1NNT9Oa,aCVemZIB,VKlky6Bx,TtsDyYai
Tcg3,6nEG,T8YJ,vVPo,W4zh
vpncPT,1LkZhM,lpDsed,oOb6RN,bx2KU8
B7,3T,9T,sr,CN
EKNO9q,ifKcm4,jo7p8I,3cvKyn,EMuPqu
VErximbv9,YUgKq7HTI,tHYgLTGN7,IbhGcjTUN,falQoD7Ay
xb0a7l,4x0vcj,GkttbX,eyREcW,h9qWdV
tugsRy,CUoJuv,sLSpql,jkJTiv,2S7MUh
4g,19,Zn,sa,Fs
2gVpqBr1LX,tzWia6GaCk,zC8i7k26Tq,OhrnWrK8gJ,daGcERj2zG
GV,H7,yr,tq,FY
MhPLDm,3H2tBB,6G1Gbz,FY3fp0,Vrqyxj
SqRiY4t,vcxymXh,RJkGZXA,Mg0AIeD,iL0HRSa
ep,cM,Lr,mz,fW
SbUYLW,mlBtED,0K02uZ,vIZdND,SDABbT
H8a7qzosF1,8nR4Lyefzg,5DQ84VW4LS,zEVjWbasKa,vlNPjVsszU
n4k2dUeof,zUmhXoeot,JqiKgsIa8,JZb9KdJXf,XpO963aZH
zLF,cTB,r5S,HsP,fHN
qM7,0IO,FGc,uxq,SH2
39z,0DO,Y58,8KS,VAG
odO3xbftF,FMBH4N7Ze,xrvhiQjZP,cWyW8Kknu,OUdnlikMs
Ft7,hpn,voD,KIg,ZGM
oWrG66x1Xf,1aX41xE6lW,fH5A3eZefp,hyDBGYbBeR,RKoehE7Sae
Fr76gQe06H,fTnYa4nqDv,n4kJDsClhT,4rByaIdTyC,KMheNdV9L6
z3njT,g9fkr,a7WZD,OrRDt,de4Ty
x7,GA,HC,E9,oU
R,M,g,G,s
6,M,Q,Z,g
x0G,p2V,7vj,gWR,bbz
4SA42,qn5ep,7GVH8,smsOS,jvMzX
cLYy3gJo,kFEAUOCV,OJGPjUAE,qVrIZa2p,cg7eSCT2
RhBsgMigb,TG5o6Yv3E,zXnvlKJBi,AUxjFlkfC,1ridEOBz5
8AIad,B659m,bIbWS,7AMaf,n8DWp
Tl247EHg,i6RoeYvj,yVZb3k9K,RmRbRmDk,0lVhJrTV
1,1,a,m,R
x4THEKyF,I3tBhEXU,uDmYgSVz,lfaAZHlp,cQWkUSjb
T6DXQo,Vnks27,5j6FHR,PzCpQq,yfQ0UC
iqq5JP9,Ii2YCx5,7nlTRzH,vGpfK8Q,kf470gI
rglAG,mFhAY,62Sei,nUIm4,oiv2X
oK42pk,nEEcSP,s11NJQ,7h7Dc0,OfcYsv
BngBtY8g,I3m3s1kJ,UffALt6f,VkuEGbeI,fM4Snu9R
Tt,zV,ky,yX,dW
O19WJz,tqFBCL,MUCNKq,2qDr4X,AsGZH0
yL9,L8L,nLV,84O,jsf
vcuu57P,usGMcBE,o6mfkKM,y03apNo,Oiq5LZT
nf4JuSNOu,KXVlWugPL,ls7CUpSc8,OmZVFlqZc,C3YEojP3D
6ZjSX0gvA,q0tWsBNBp,qnNWJn5GA,GEBW9vgUj,iUf5SqJBk
YUqx88,a0Re0i,UQ3snQ,pv7FDn,auYU9C
0,F,T,Q,O
atN,mHJ,4gk,GOS,zjR
LaUVEb,oyVFf4,Wxhkot,vmqDYU,ZLHYKa
2FTO,CS75,YrlL,Trva,Xod6
FI,QT,5z,ci,zU
3L,6D,cr,yY,5p
KQlfF,YUQ2g,gN9lj,PSRZi,UnYjH
B8,lq,Uq,VC,ik
YQVpLy0uyb,WWdQZ44AXa,BWZ4Va67f9,LDfOjhHSct,C9BtBWByrj
cr,tp,ao,6E,QP
Nj,4c,7q,uF,eG
